Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,case,Center Name,collection_date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,organism,Platform,ReleaseDate,create_date,version,Sample Name,sample_type,Scientific_Name,SRA Study
ERR13060110,AMPLICON,261,11430708,PRJEB39834,SAMEA115537842,8742236,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431851,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T04:27:00Z,1,A976-61,patient,Homo sapiens,ERP123398
ERR13060112,AMPLICON,277,11423531,PRJEB39834,SAMEA115537844,8917186,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431853,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T05:46:00Z,1,A976-63,patient,Homo sapiens,ERP123398
ERR13060118,AMPLICON,280,50210166,PRJEB39834,SAMEA115537850,37774533,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431859,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-08-14T09:41:00Z,1,K9403-37,patient,Homo sapiens,ERP123398
ERR13060135,AMPLICON,269,14687135,PRJEB39834,SAMEA115537867,11843020,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431876,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:21:00Z,1,K9403-89,patient,Homo sapiens,ERP123398
ERR13060147,AMPLICON,256,8939338,PRJEB39834,SAMEA115537879,7021916,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431888,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:24:00Z,1,K5175-134,patient,Homo sapiens,ERP123398
ERR13060163,AMPLICON,261,38258804,PRJEB39834,SAMEA115537895,28447145,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431904,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:32:00Z,1,K5175-70,patient,Homo sapiens,ERP123398
ERR13060170,AMPLICON,277,37335049,PRJEB39834,SAMEA115537902,27925986,10,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431911,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:31:00Z,1,K1799-80,patient,Homo sapiens,ERP123398
ERR13060172,AMPLICON,278,2283730,PRJEB39834,SAMEA115537904,1760912,10,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431913,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T04:13:00Z,1,K1799-86,patient,Homo sapiens,ERP123398
ERR13059974,AMPLICON,255,72590839,PRJEB39834,SAMEA115537706,53956866,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431715,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T22:59:00Z,1,K6409-31,patient,Homo sapiens,ERP123398
ERR13059981,AMPLICON,255,24788765,PRJEB39834,SAMEA115537713,17580536,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431722,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:17:00Z,1,K6409-68,donor,Homo sapiens,ERP123398
ERR13059987,AMPLICON,266,4660788,PRJEB39834,SAMEA115537719,3520538,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431728,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:18:00Z,1,K6409-87,patient,Homo sapiens,ERP123398
ERR13059997,AMPLICON,263,13913500,PRJEB39834,SAMEA115537729,10841581,06,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431738,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T23:08:00Z,1,K4383-113,patient,Homo sapiens,ERP123398
ERR13060003,AMPLICON,260,20160198,PRJEB39834,SAMEA115537735,14957414,06,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,sra,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431744,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:13:00Z,1,K4383-53,donor,Homo sapiens,ERP123398
ERR13060014,AMPLICON,234,21658578,PRJEB39834,SAMEA115537746,16291353,06,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431755,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:16:00Z,1,K4383-92,patient,Homo sapiens,ERP123398
ERR13060027,AMPLICON,258,2764527,PRJEB39834,SAMEA115537759,2095616,01,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431768,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T23:18:00Z,1,K1836-71,patient,Homo sapiens,ERP123398
ERR13060044,AMPLICON,258,3857805,PRJEB39834,SAMEA115537776,2879959,01,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431785,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:03:00Z,1,K1836-76,donor,Homo sapiens,ERP123398
ERR13060049,AMPLICON,245,9741774,PRJEB39834,SAMEA115537781,7260305,02,MEDICAL UNIVERSITY GRAZ,2014,human,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431790,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:03:00Z,1,K4389-28,patient,Homo sapiens,ERP123398
ERR13060059,AMPLICON,250,22824415,PRJEB39834,SAMEA115537791,17275351,02,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,sra,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431800,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:01:00Z,1,K4389-64,patient,Homo sapiens,ERP123398
ERR13060062,AMPLICON,242,20810503,PRJEB39834,SAMEA115537794,15688601,02,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431803,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T19:56:00Z,1,K4389-71,patient,Homo sapiens,ERP123398
ERR13060064,AMPLICON,233,37148904,PRJEB39834,SAMEA115537796,29945026,03,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431805,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:16:00Z,1,K960-13,patient,Homo sapiens,ERP123398
ERR13060071,AMPLICON,277,11677756,PRJEB39834,SAMEA115537803,9191553,50,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431812,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T23:06:00Z,1,A6006-4,donor,Homo sapiens,ERP123398
ERR13060078,AMPLICON,280,28219973,PRJEB39834,SAMEA115537810,22176736,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431819,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T00:17:00Z,1,K8073-116,patient,Homo sapiens,ERP123398
ERR13060089,AMPLICON,275,19996093,PRJEB39834,SAMEA115537821,15948396,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431830,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T00:26:00Z,1,K8073-85,patient,Homo sapiens,ERP123398
ERR13060090,AMPLICON,276,21607555,PRJEB39834,SAMEA115537822,17246599,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431831,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:25:00Z,1,K8073-86,patient,Homo sapiens,ERP123398
ERR13060099,AMPLICON,278,24029778,PRJEB39834,SAMEA115537831,18209123,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431840,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T23:16:00Z,1,A976-22,patient,Homo sapiens,ERP123398
ERR13060107,AMPLICON,273,23894696,PRJEB39834,SAMEA115537839,18764218,09,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431848,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:28:00Z,1,A976-46,patient,Homo sapiens,ERP123398
ERR13060117,AMPLICON,283,44456919,PRJEB39834,SAMEA115537849,33488333,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431858,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T00:29:00Z,1,K9403-36,patient,Homo sapiens,ERP123398
ERR13060119,AMPLICON,220,29942680,PRJEB39834,SAMEA115537851,22761489,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431860,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:18:00Z,1,K9403-44,patient,Homo sapiens,ERP123398
ERR13060124,AMPLICON,282,16924683,PRJEB39834,SAMEA115537856,13060136,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431865,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:07:00Z,1,K9403-54,patient,Homo sapiens,ERP123398
ERR13060125,AMPLICON,278,222354136,PRJEB39834,SAMEA115537857,169158875,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431866,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:17:00Z,1,K9403-58,patient,Homo sapiens,ERP123398
ERR13060131,AMPLICON,277,22126270,PRJEB39834,SAMEA115537863,17146938,07,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,run.zq,sra","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2024-05-07,2024-05-07,ERX12431872,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T20:24:00Z,1,K9403-77,patient,Homo sapiens,ERP123398
ERR13060165,AMPLICON,260,29865566,PRJEB39834,SAMEA115537897,22201353,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431906,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T23:27:00Z,1,K5175-72,patient,Homo sapiens,ERP123398
ERR13059989,AMPLICON,260,24076551,PRJEB39834,SAMEA115537721,17978636,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431730,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:23:00Z,1,K6409-89,patient,Homo sapiens,ERP123398
ERR13060080,AMPLICON,278,13116197,PRJEB39834,SAMEA115537812,10387237,08,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431821,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:29:00Z,1,K8073-126,patient,Homo sapiens,ERP123398
ERR13060142,AMPLICON,269,14074470,PRJEB39834,SAMEA115537874,10471292,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431883,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:21:00Z,1,K5175-129,patient,Homo sapiens,ERP123398
ERR13060153,AMPLICON,244,12228903,PRJEB39834,SAMEA115537885,9406160,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"sra,run.zq,fastq","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431894,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-26T02:03:00Z,1,K5175-36,donor,Homo sapiens,ERP123398
ERR13060160,AMPLICON,238,46556170,PRJEB39834,SAMEA115537892,34899908,04,MEDICAL UNIVERSITY GRAZ,2014,human,public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",2024-05-07,2024-05-07,ERX12431901,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:31:00Z,1,K5175-67,donor,Homo sapiens,ERP123398
ERR13060174,AMPLICON,278,25295554,PRJEB39834,SAMEA115537906,19739470,10,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431915,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-25T13:36:00Z,1,K1799-92,patient,Homo sapiens,ERP123398
ERR13059975,AMPLICON,262,89161186,PRJEB39834,SAMEA115537707,65774759,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2024-05-07,2024-05-07,ERX12431716,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T15:29:00Z,1,K6409-44,patient,Homo sapiens,ERP123398
ERR13059980,AMPLICON,254,26404169,PRJEB39834,SAMEA115537712,19154840,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2024-05-07,2024-05-07,ERX12431721,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-24T02:02:00Z,1,K6409-67,patient,Homo sapiens,ERP123398
ERR13059985,AMPLICON,254,15053990,PRJEB39834,SAMEA115537717,11213079,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2024-05-07,2024-05-07,ERX12431726,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T05:25:00Z,1,K6409-85,donor,Homo sapiens,ERP123398
ERR13059988,AMPLICON,256,26419503,PRJEB39834,SAMEA115537720,19852338,05,MEDICAL UNIVERSITY GRAZ,2019,human,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2024-05-07,2024-05-07,ERX12431729,Austria,Europe,Austria,Ion Torrent Proton,,SINGLE,PCR,METAGENOMIC,Homo sapiens,Homo sapiens,ION_TORRENT,2024-07-18T00:00:00Z,2024-07-23T05:26:00Z,1,K6409-88,patient,Homo sapiens,ERP123398
